Source Type,Underlying,Tenor Swap,Tenor Option,Portfolio,Group,Risk,dRisk,Vol Score,Risk SP01,dRisk SP01,Risk PSP01,dRisk PSP01,Risk PM01,dRisk PM01,Risk PM01P,dRisk PM01P,Risk Theta,dRisk Theta,Risk JTD,dRisk JTD
fx/vega,FAKE_REPLACE_ME - USD/JPY Vol,FAKE_REPLACE_ME - 6M,,FAKE_REPLACE_ME - BOOK-0012 · TRADER-006,G10,3903868,124554,5.881,,,,,,,,,,,,
fx/vega,FAKE_REPLACE_ME - GBP/USD Vol,FAKE_REPLACE_ME - 1M,,FAKE_REPLACE_ME - BOOK-0013 · TRADER-007,G10,975326,-220497,94.962,,,,,,,,,,,,
fx/vega,FAKE_REPLACE_ME - GBP/USD Vol,FAKE_REPLACE_ME - 3M,,FAKE_REPLACE_ME - BOOK-0014 · TRADER-007,G10,4789201,52382,5.391,,,,,,,,,,,,
fx/vega,FAKE_REPLACE_ME - GBP/USD Vol,FAKE_REPLACE_ME - 6M,,FAKE_REPLACE_ME - BOOK-0015 · TRADER-008,G10,1027703,-357597,18.079,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 6M,,FAKE_REPLACE_ME - BOOK-0016 · TRADER-008,G10,1275666,499337,57.793,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 1Y,,FAKE_REPLACE_ME - BOOK-0017 · TRADER-009,G10,3328269,68290,65.639,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 2Y,,FAKE_REPLACE_ME - BOOK-0018 · TRADER-009,G10,4147380,287096,33.15,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 5Y,,FAKE_REPLACE_ME - BOOK-0019 · TRADER-010,G10,-3582593,-178816,19.393,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 10Y,,FAKE_REPLACE_ME - BOOK-0020 · TRADER-010,G10,-3655771,423292,83.371,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 6M,,FAKE_REPLACE_ME - BOOK-0021 · TRADER-011,G10,1822679,-71750,91.959,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 1Y,,FAKE_REPLACE_ME - BOOK-0022 · TRADER-011,G10,-2180950,454885,80.937,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 2Y,,FAKE_REPLACE_ME - BOOK-0023 · TRADER-012,G10,4777339,509146,19.585,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 5Y,,FAKE_REPLACE_ME - BOOK-0024 · TRADER-012,G10,-3155348,506275,43.17,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 10Y,,FAKE_REPLACE_ME - BOOK-0025 · TRADER-013,G10,3437141,270743,66.514,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - GBP SONIA,FAKE_REPLACE_ME - 6M,,FAKE_REPLACE_ME - BOOK-0026 · TRADER-013,G10,-4669002,217267,75.934,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - GBP SONIA,FAKE_REPLACE_ME - 1Y,,FAKE_REPLACE_ME - BOOK-0027 · TRADER-014,G10,-2515364,-39812,22.55,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - GBP SONIA,FAKE_REPLACE_ME - 2Y,,FAKE_REPLACE_ME - BOOK-0028 · TRADER-014,G10,-1820226,-394402,47.242,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - GBP SONIA,FAKE_REPLACE_ME - 5Y,,FAKE_REPLACE_ME - BOOK-0029 · TRADER-015,G10,2218987,-201441,35.073,,,,,,,,,,,,
ir/delta,FAKE_REPLACE_ME - GBP SONIA,FAKE_REPLACE_ME - 10Y,,FAKE_REPLACE_ME - BOOK-0030 · TRADER-015,G10,4538047,-545598,43.045,,,,,,,,,,,,
ir/gamma,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 1Y,,FAKE_REPLACE_ME - BOOK-0031 · TRADER-016,G10,-820069,479888,34.173,,,,,,,,,,,,
ir/gamma,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 2Y,,FAKE_REPLACE_ME - BOOK-0032 · TRADER-016,G10,3838190,-470364,36.72,,,,,,,,,,,,
ir/gamma,FAKE_REPLACE_ME - USD SOFR,FAKE_REPLACE_ME - 5Y,,FAKE_REPLACE_ME - BOOK-0033 · TRADER-017,G10,4943816,117934,76.478,,,,,,,,,,,,
ir/gamma,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 1Y,,FAKE_REPLACE_ME - BOOK-0034 · TRADER-017,G10,1608876,-318811,73.761,,,,,,,,,,,,
ir/gamma,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 2Y,,FAKE_REPLACE_ME - BOOK-0035 · TRADER-018,G10,3005963,-348617,23.212,,,,,,,,,,,,
ir/gamma,FAKE_REPLACE_ME - EUR ESTR,FAKE_REPLACE_ME - 5Y,,FAKE_REPLACE_ME - BOOK-0036 · TRADER-018,G10,-2721792,-146157,9.696,,,,,,,,,,,,
ir/gamma,FAKE_REPLACE_ME - GBP SONIA,FAKE_REPLACE_ME - 1Y,,FAKE_REPLACE_ME - BOOK-0037 · TRADER-019,G10,2993257,-29446,84.188,,,,,,,,,,,,
ir/gamma,FAKE_REPLACE_ME - GBP SONIA,FAKE_REPLACE_ME - 2Y,,FAKE_REPLACE_ME - BOOK-0038 · TRADER-019,G10,1360918,269788,35.911,,,,,,,,,,,,
ir/gamma,FAKE_REPLACE_ME - GBP SONIA,FAKE_REPLACE_ME - 5Y,,FAKE_REPLACE_ME - BOOK-0039 · TRADER-020,G10,-1029445,197079,8.426,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 1M,FAKE_REPLACE_ME - BOOK-0040 · TRADER-020,G10,-2587374,46102,67.524,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0041 · TRADER-021,G10,1599297,350607,18.804,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0042 · TRADER-021,G10,4211979,-243973,55.419,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 1M,FAKE_REPLACE_ME - BOOK-0043 · TRADER-022,G10,-590894,-420011,71.289,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0044 · TRADER-022,G10,3517474,-190925,45.767,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0045 · TRADER-023,G10,2497638,281012,40.002,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 1M,FAKE_REPLACE_ME - BOOK-0046 · TRADER-023,G10,264372,155736,50.879,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0047 · TRADER-024,G10,4320171,248772,35.224,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0048 · TRADER-024,G10,-4164716,-460725,83.515,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 1M,FAKE_REPLACE_ME - BOOK-0049 · TRADER-025,G10,4909972,362989,55.075,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0050 · TRADER-025,G10,1023738,474038,62.145,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - USD SOFR Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0051 · TRADER-026,G10,-3367400,316401,15.902,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 1M,FAKE_REPLACE_ME - BOOK-0052 · TRADER-026,G10,4982919,223334,9.282,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0053 · TRADER-027,G10,4782977,-494238,21.179,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0054 · TRADER-027,G10,4081330,453856,63.058,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 1M,FAKE_REPLACE_ME - BOOK-0055 · TRADER-028,G10,3685962,406685,46.66,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0056 · TRADER-028,G10,-3371108,-143715,13.2,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0057 · TRADER-029,G10,3053435,-211252,50.299,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 1M,FAKE_REPLACE_ME - BOOK-0058 · TRADER-029,G10,4714906,-282077,53.745,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0059 · TRADER-030,G10,2984996,22897,94.194,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0060 · TRADER-030,G10,3964344,27478,36.039,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 1M,FAKE_REPLACE_ME - BOOK-0061 · TRADER-031,G10,3198247,437290,40.759,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0062 · TRADER-031,G10,-2551154,-341001,69.305,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - EUR ESTR Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0063 · TRADER-032,G10,-3651026,307762,53.375,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 1M,FAKE_REPLACE_ME - BOOK-0064 · TRADER-032,G10,-2439577,-154679,86.66,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0065 · TRADER-033,G10,2406065,353848,61.028,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0066 · TRADER-033,G10,4534948,-332481,53.064,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 1M,FAKE_REPLACE_ME - BOOK-0067 · TRADER-034,G10,2799457,246540,29.859,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0068 · TRADER-034,G10,3841016,400544,22.466,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0069 · TRADER-035,G10,1387553,158141,94.798,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 1M,FAKE_REPLACE_ME - BOOK-0070 · TRADER-035,G10,-2280371,164058,28.708,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0071 · TRADER-036,G10,2160074,-479154,18.444,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 2Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0072 · TRADER-036,G10,2307691,-232607,86.939,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 1M,FAKE_REPLACE_ME - BOOK-0073 · TRADER-037,G10,-830476,-315223,49.417,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0074 · TRADER-037,G10,-1129065,-165718,10.751,,,,,,,,,,,,
ir/deltavega,FAKE_REPLACE_ME - GBP SONIA Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0075 · TRADER-038,G10,3159633,-259126,71.966,,,,,,,,,,,,
ir/xccy,FAKE_REPLACE_ME - EUR/USD XCCY,FAKE_REPLACE_ME - 1Y,,FAKE_REPLACE_ME - BOOK-0076 · TRADER-038,G10,1103560,-105446,20.615,,,,,,,,,,,,
ir/xccy,FAKE_REPLACE_ME - EUR/USD XCCY,FAKE_REPLACE_ME - 2Y,,FAKE_REPLACE_ME - BOOK-0077 · TRADER-039,G10,-250192,46073,89.995,,,,,,,,,,,,
ir/xccy,FAKE_REPLACE_ME - EUR/USD XCCY,FAKE_REPLACE_ME - 5Y,,FAKE_REPLACE_ME - BOOK-0078 · TRADER-039,G10,-3093158,34616,24.623,,,,,,,,,,,,
ir/xccy,FAKE_REPLACE_ME - GBP/USD XCCY,FAKE_REPLACE_ME - 1Y,,FAKE_REPLACE_ME - BOOK-0079 · TRADER-040,G10,-1794063,417074,7.66,,,,,,,,,,,,
ir/xccy,FAKE_REPLACE_ME - GBP/USD XCCY,FAKE_REPLACE_ME - 2Y,,FAKE_REPLACE_ME - BOOK-0080 · TRADER-040,G10,-3989272,92820,74.035,,,,,,,,,,,,
ir/xccy,FAKE_REPLACE_ME - GBP/USD XCCY,FAKE_REPLACE_ME - 5Y,,FAKE_REPLACE_ME - BOOK-0081 · TRADER-041,G10,822712,-437684,25.976,,,,,,,,,,,,
ir/xccy,FAKE_REPLACE_ME - USD/JPY XCCY,FAKE_REPLACE_ME - 1Y,,FAKE_REPLACE_ME - BOOK-0082 · TRADER-041,G10,3642586,535341,47.157,,,,,,,,,,,,
ir/xccy,FAKE_REPLACE_ME - USD/JPY XCCY,FAKE_REPLACE_ME - 2Y,,FAKE_REPLACE_ME - BOOK-0083 · TRADER-042,G10,4692723,453213,28.153,,,,,,,,,,,,
ir/xccy,FAKE_REPLACE_ME - USD/JPY XCCY,FAKE_REPLACE_ME - 5Y,,FAKE_REPLACE_ME - BOOK-0084 · TRADER-042,G10,4509063,-412300,95.523,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0085 · TRADER-043,G10,-1683366,407418,69.408,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0086 · TRADER-043,G10,3540989,-88823,42.83,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - BOOK-0087 · TRADER-044,G10,2919706,238371,40.326,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 3Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0088 · TRADER-044,G10,1573718,106721,98.531,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 3Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0089 · TRADER-045,G10,2733864,152729,15.588,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 3Y,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - BOOK-0090 · TRADER-045,G10,3632901,544932,88.256,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0091 · TRADER-046,G10,1684216,-134187,33.059,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0092 · TRADER-046,G10,-3786537,512087,66.867,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - BOOK-0093 · TRADER-047,G10,-1482824,312561,11.417,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0094 · TRADER-047,G10,2295564,-172898,51.28,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0095 · TRADER-048,G10,-2788233,194416,29.396,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - EUR/USD XCCY Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - BOOK-0096 · TRADER-048,G10,-3466446,182094,12.477,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - GBP/USD XCCY Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0097 · TRADER-049,G10,-3558903,-97874,86.347,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - GBP/USD XCCY Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0098 · TRADER-049,G10,855672,-217232,94.208,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - GBP/USD XCCY Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - BOOK-0099 · TRADER-050,G10,-4874932,48039,55.864,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - GBP/USD XCCY Vol,FAKE_REPLACE_ME - 3Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0100 · TRADER-050,G10,-4032633,272391,69.783,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - GBP/USD XCCY Vol,FAKE_REPLACE_ME - 3Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0101 · TRADER-051,G10,-4246151,382408,36.055,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - GBP/USD XCCY Vol,FAKE_REPLACE_ME - 3Y,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - BOOK-0102 · TRADER-051,G10,1636164,-45532,82.16,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - GBP/USD XCCY Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0103 · TRADER-052,G10,1639697,238465,79.393,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - GBP/USD XCCY Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0104 · TRADER-052,G10,3766721,76735,24.104,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - GBP/USD XCCY Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - BOOK-0105 · TRADER-053,G10,-3582312,-413624,6.356,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - GBP/USD XCCY Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0106 · TRADER-053,G10,-4145742,380572,53.579,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - GBP/USD XCCY Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0107 · TRADER-054,G10,2469042,-547091,42.297,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - GBP/USD XCCY Vol,FAKE_REPLACE_ME - 10Y,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - BOOK-0108 · TRADER-054,G10,-1198146,273886,32.006,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - USD/JPY XCCY Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0109 · TRADER-055,G10,3399583,-482615,22.056,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - USD/JPY XCCY Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0110 · TRADER-055,G10,4312795,-241944,64.692,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - USD/JPY XCCY Vol,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - BOOK-0111 · TRADER-056,G10,2052967,-477222,95.28,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - USD/JPY XCCY Vol,FAKE_REPLACE_ME - 3Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0112 · TRADER-056,G10,3081806,95298,49.095,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - USD/JPY XCCY Vol,FAKE_REPLACE_ME - 3Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0113 · TRADER-057,G10,4791090,-59941,99.551,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - USD/JPY XCCY Vol,FAKE_REPLACE_ME - 3Y,FAKE_REPLACE_ME - 1Y,FAKE_REPLACE_ME - BOOK-0114 · TRADER-057,G10,4458660,57567,53.325,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - USD/JPY XCCY Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 3M,FAKE_REPLACE_ME - BOOK-0115 · TRADER-058,G10,2370940,-445172,64.577,,,,,,,,,,,,
ir/xccyvega,FAKE_REPLACE_ME - USD/JPY XCCY Vol,FAKE_REPLACE_ME - 5Y,FAKE_REPLACE_ME - 6M,FAKE_REPLACE_ME - BOOK-0116 · TRADER-058,G10,-4564156,-418830,90.922,,,,,,,,,,,,
