Source Type,Underlying,Tenor Swap,Tenor Option,Tenor Swap Order,Tenor Option Order,Current
ir/xccyvega,TEMP_REPLACE_ME - EUR/USD XCCY Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 2Y,2,3,0.353215
ir/xccyvega,TEMP_REPLACE_ME - EUR/USD XCCY Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 3M,3,0,0.185148
ir/xccyvega,TEMP_REPLACE_ME - EUR/USD XCCY Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 6M,3,1,0.234389
ir/xccyvega,TEMP_REPLACE_ME - EUR/USD XCCY Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 1Y,3,2,0.189632
ir/xccyvega,TEMP_REPLACE_ME - EUR/USD XCCY Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 2Y,3,3,0.205224
ir/xccyvega,TEMP_REPLACE_ME - EUR/USD XCCY Vol,TEMP_REPLACE_ME - 30Y,TEMP_REPLACE_ME - 3M,4,0,0.216747
ir/xccyvega,TEMP_REPLACE_ME - EUR/USD XCCY Vol,TEMP_REPLACE_ME - 30Y,TEMP_REPLACE_ME - 6M,4,1,0.208458
ir/xccyvega,TEMP_REPLACE_ME - EUR/USD XCCY Vol,TEMP_REPLACE_ME - 30Y,TEMP_REPLACE_ME - 1Y,4,2,0.069388
ir/xccyvega,TEMP_REPLACE_ME - EUR/USD XCCY Vol,TEMP_REPLACE_ME - 30Y,TEMP_REPLACE_ME - 2Y,4,3,0.217725
ir/xccyvega,TEMP_REPLACE_ME - GBP/USD XCCY Vol,TEMP_REPLACE_ME - 1Y,TEMP_REPLACE_ME - 3M,0,0,0.230411
ir/xccyvega,TEMP_REPLACE_ME - GBP/USD XCCY Vol,TEMP_REPLACE_ME - 1Y,TEMP_REPLACE_ME - 6M,0,1,0.084726
ir/xccyvega,TEMP_REPLACE_ME - GBP/USD XCCY Vol,TEMP_REPLACE_ME - 1Y,TEMP_REPLACE_ME - 1Y,0,2,0.333214
ir/xccyvega,TEMP_REPLACE_ME - GBP/USD XCCY Vol,TEMP_REPLACE_ME - 1Y,TEMP_REPLACE_ME - 2Y,0,3,0.251143
ir/xccyvega,TEMP_REPLACE_ME - GBP/USD XCCY Vol,TEMP_REPLACE_ME - 3Y,TEMP_REPLACE_ME - 3M,1,0,0.174645
ir/xccyvega,TEMP_REPLACE_ME - GBP/USD XCCY Vol,TEMP_REPLACE_ME - 3Y,TEMP_REPLACE_ME - 6M,1,1,0.253494
ir/xccyvega,TEMP_REPLACE_ME - GBP/USD XCCY Vol,TEMP_REPLACE_ME - 3Y,TEMP_REPLACE_ME - 1Y,1,2,0.150478
ir/xccyvega,TEMP_REPLACE_ME - GBP/USD XCCY Vol,TEMP_REPLACE_ME - 3Y,TEMP_REPLACE_ME - 2Y,1,3,0.198501
ir/xccyvega,TEMP_REPLACE_ME - GBP/USD XCCY Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 3M,2,0,0.112097
ir/xccyvega,TEMP_REPLACE_ME - GBP/USD XCCY Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 6M,2,1,0.19975
ir/xccyvega,TEMP_REPLACE_ME - GBP/USD XCCY Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 1Y,2,2,0.337549
ir/xccyvega,TEMP_REPLACE_ME - GBP/USD XCCY Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 2Y,2,3,0.121764
ir/xccyvega,TEMP_REPLACE_ME - GBP/USD XCCY Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 3M,3,0,0.209652
ir/xccyvega,TEMP_REPLACE_ME - GBP/USD XCCY Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 6M,3,1,0.296223
ir/xccyvega,TEMP_REPLACE_ME - GBP/USD XCCY Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 1Y,3,2,0.314464
ir/xccyvega,TEMP_REPLACE_ME - GBP/USD XCCY Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 2Y,3,3,0.090318
ir/xccyvega,TEMP_REPLACE_ME - GBP/USD XCCY Vol,TEMP_REPLACE_ME - 30Y,TEMP_REPLACE_ME - 3M,4,0,0.224102
ir/xccyvega,TEMP_REPLACE_ME - GBP/USD XCCY Vol,TEMP_REPLACE_ME - 30Y,TEMP_REPLACE_ME - 6M,4,1,0.297474
ir/xccyvega,TEMP_REPLACE_ME - GBP/USD XCCY Vol,TEMP_REPLACE_ME - 30Y,TEMP_REPLACE_ME - 1Y,4,2,0.182006
ir/xccyvega,TEMP_REPLACE_ME - GBP/USD XCCY Vol,TEMP_REPLACE_ME - 30Y,TEMP_REPLACE_ME - 2Y,4,3,0.202929
ir/xccyvega,TEMP_REPLACE_ME - USD/JPY XCCY Vol,TEMP_REPLACE_ME - 1Y,TEMP_REPLACE_ME - 3M,0,0,0.163116
ir/xccyvega,TEMP_REPLACE_ME - USD/JPY XCCY Vol,TEMP_REPLACE_ME - 1Y,TEMP_REPLACE_ME - 6M,0,1,0.228225
ir/xccyvega,TEMP_REPLACE_ME - USD/JPY XCCY Vol,TEMP_REPLACE_ME - 1Y,TEMP_REPLACE_ME - 1Y,0,2,0.171945
ir/xccyvega,TEMP_REPLACE_ME - USD/JPY XCCY Vol,TEMP_REPLACE_ME - 1Y,TEMP_REPLACE_ME - 2Y,0,3,0.355775
ir/xccyvega,TEMP_REPLACE_ME - USD/JPY XCCY Vol,TEMP_REPLACE_ME - 3Y,TEMP_REPLACE_ME - 3M,1,0,0.342997
ir/xccyvega,TEMP_REPLACE_ME - USD/JPY XCCY Vol,TEMP_REPLACE_ME - 3Y,TEMP_REPLACE_ME - 6M,1,1,0.096026
ir/xccyvega,TEMP_REPLACE_ME - USD/JPY XCCY Vol,TEMP_REPLACE_ME - 3Y,TEMP_REPLACE_ME - 1Y,1,2,0.287926
ir/xccyvega,TEMP_REPLACE_ME - USD/JPY XCCY Vol,TEMP_REPLACE_ME - 3Y,TEMP_REPLACE_ME - 2Y,1,3,0.25289
ir/xccyvega,TEMP_REPLACE_ME - USD/JPY XCCY Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 3M,2,0,0.276454
ir/xccyvega,TEMP_REPLACE_ME - USD/JPY XCCY Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 6M,2,1,0.103348
ir/xccyvega,TEMP_REPLACE_ME - USD/JPY XCCY Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 1Y,2,2,0.161569
ir/xccyvega,TEMP_REPLACE_ME - USD/JPY XCCY Vol,TEMP_REPLACE_ME - 5Y,TEMP_REPLACE_ME - 2Y,2,3,0.239778
ir/xccyvega,TEMP_REPLACE_ME - USD/JPY XCCY Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 3M,3,0,0.134248
ir/xccyvega,TEMP_REPLACE_ME - USD/JPY XCCY Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 6M,3,1,0.291793
ir/xccyvega,TEMP_REPLACE_ME - USD/JPY XCCY Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 1Y,3,2,0.067728
ir/xccyvega,TEMP_REPLACE_ME - USD/JPY XCCY Vol,TEMP_REPLACE_ME - 10Y,TEMP_REPLACE_ME - 2Y,3,3,0.103805
ir/xccyvega,TEMP_REPLACE_ME - USD/JPY XCCY Vol,TEMP_REPLACE_ME - 30Y,TEMP_REPLACE_ME - 3M,4,0,0.163372
ir/xccyvega,TEMP_REPLACE_ME - USD/JPY XCCY Vol,TEMP_REPLACE_ME - 30Y,TEMP_REPLACE_ME - 6M,4,1,0.127658
ir/xccyvega,TEMP_REPLACE_ME - USD/JPY XCCY Vol,TEMP_REPLACE_ME - 30Y,TEMP_REPLACE_ME - 1Y,4,2,0.054511
ir/xccyvega,TEMP_REPLACE_ME - USD/JPY XCCY Vol,TEMP_REPLACE_ME - 30Y,TEMP_REPLACE_ME - 2Y,4,3,0.291222
ir/inflation,TEMP_REPLACE_ME - US CPI,TEMP_REPLACE_ME - 2Y,,0,,0.075037
ir/inflation,TEMP_REPLACE_ME - US CPI,TEMP_REPLACE_ME - 5Y,,1,,0.012225
ir/inflation,TEMP_REPLACE_ME - US CPI,TEMP_REPLACE_ME - 10Y,,2,,0.034731
ir/inflation,TEMP_REPLACE_ME - US CPI,TEMP_REPLACE_ME - 20Y,,3,,0.035644
ir/inflation,TEMP_REPLACE_ME - US CPI,TEMP_REPLACE_ME - 30Y,,4,,0.065438
ir/inflation,TEMP_REPLACE_ME - EU HICP,TEMP_REPLACE_ME - 2Y,,0,,0.034477
ir/inflation,TEMP_REPLACE_ME - EU HICP,TEMP_REPLACE_ME - 5Y,,1,,0.067697
ir/inflation,TEMP_REPLACE_ME - EU HICP,TEMP_REPLACE_ME - 10Y,,2,,0.025062
ir/inflation,TEMP_REPLACE_ME - EU HICP,TEMP_REPLACE_ME - 20Y,,3,,0.061162
ir/inflation,TEMP_REPLACE_ME - EU HICP,TEMP_REPLACE_ME - 30Y,,4,,0.028304
ir/inflation,TEMP_REPLACE_ME - UK RPI,TEMP_REPLACE_ME - 2Y,,0,,0.080158
ir/inflation,TEMP_REPLACE_ME - UK RPI,TEMP_REPLACE_ME - 5Y,,1,,0.034059
ir/inflation,TEMP_REPLACE_ME - UK RPI,TEMP_REPLACE_ME - 10Y,,2,,0.034569
ir/inflation,TEMP_REPLACE_ME - UK RPI,TEMP_REPLACE_ME - 20Y,,3,,0.010687
ir/inflation,TEMP_REPLACE_ME - UK RPI,TEMP_REPLACE_ME - 30Y,,4,,0.010919
