Portfolio,Product,Activity,SignoffGroup,Category
FAKE_REPLACE_ME - BOOK-0029 · TRADER-015,XVA,FAKE_REPLACE_ME - Activity 15,FAKE_REPLACE_ME - SOG-015,FAKE_REPLACE_ME - Business 15
FAKE_REPLACE_ME - BOOK-0030 · TRADER-015,Hedges,FAKE_REPLACE_ME - Activity 15,FAKE_REPLACE_ME - SOG-015,FAKE_REPLACE_ME - Business 15
FAKE_REPLACE_ME - BOOK-0031 · TRADER-016,XVA,FAKE_REPLACE_ME - Activity 16,FAKE_REPLACE_ME - SOG-016,FAKE_REPLACE_ME - Business 16
FAKE_REPLACE_ME - BOOK-0032 · TRADER-016,Hedges,FAKE_REPLACE_ME - Activity 16,FAKE_REPLACE_ME - SOG-016,FAKE_REPLACE_ME - Business 16
FAKE_REPLACE_ME - BOOK-0033 · TRADER-017,XVA,FAKE_REPLACE_ME - Activity 17,FAKE_REPLACE_ME - SOG-017,FAKE_REPLACE_ME - Business 17
FAKE_REPLACE_ME - BOOK-0034 · TRADER-017,Hedges,FAKE_REPLACE_ME - Activity 17,FAKE_REPLACE_ME - SOG-017,FAKE_REPLACE_ME - Business 17
FAKE_REPLACE_ME - BOOK-0035 · TRADER-018,XVA,FAKE_REPLACE_ME - Activity 18,FAKE_REPLACE_ME - SOG-018,FAKE_REPLACE_ME - Business 18
FAKE_REPLACE_ME - BOOK-0036 · TRADER-018,Hedges,FAKE_REPLACE_ME - Activity 18,FAKE_REPLACE_ME - SOG-018,FAKE_REPLACE_ME - Business 18
FAKE_REPLACE_ME - BOOK-0037 · TRADER-019,XVA,FAKE_REPLACE_ME - Activity 19,FAKE_REPLACE_ME - SOG-019,FAKE_REPLACE_ME - Business 01
FAKE_REPLACE_ME - BOOK-0038 · TRADER-019,Hedges,FAKE_REPLACE_ME - Activity 19,FAKE_REPLACE_ME - SOG-019,FAKE_REPLACE_ME - Business 01
FAKE_REPLACE_ME - BOOK-0039 · TRADER-020,XVA,FAKE_REPLACE_ME - Activity 20,FAKE_REPLACE_ME - SOG-020,FAKE_REPLACE_ME - Business 02
FAKE_REPLACE_ME - BOOK-0040 · TRADER-020,Hedges,FAKE_REPLACE_ME - Activity 20,FAKE_REPLACE_ME - SOG-020,FAKE_REPLACE_ME - Business 02
FAKE_REPLACE_ME - BOOK-0041 · TRADER-021,XVA,FAKE_REPLACE_ME - Activity 21,FAKE_REPLACE_ME - SOG-021,FAKE_REPLACE_ME - Business 03
FAKE_REPLACE_ME - BOOK-0042 · TRADER-021,Hedges,FAKE_REPLACE_ME - Activity 21,FAKE_REPLACE_ME - SOG-021,FAKE_REPLACE_ME - Business 03
FAKE_REPLACE_ME - BOOK-0043 · TRADER-022,XVA,FAKE_REPLACE_ME - Activity 22,FAKE_REPLACE_ME - SOG-022,FAKE_REPLACE_ME - Business 04
FAKE_REPLACE_ME - BOOK-0044 · TRADER-022,Hedges,FAKE_REPLACE_ME - Activity 22,FAKE_REPLACE_ME - SOG-022,FAKE_REPLACE_ME - Business 04
FAKE_REPLACE_ME - BOOK-0045 · TRADER-023,XVA,FAKE_REPLACE_ME - Activity 23,FAKE_REPLACE_ME - SOG-023,FAKE_REPLACE_ME - Business 05
FAKE_REPLACE_ME - BOOK-0046 · TRADER-023,Hedges,FAKE_REPLACE_ME - Activity 23,FAKE_REPLACE_ME - SOG-023,FAKE_REPLACE_ME - Business 05
FAKE_REPLACE_ME - BOOK-0047 · TRADER-024,XVA,FAKE_REPLACE_ME - Activity 24,FAKE_REPLACE_ME - SOG-024,FAKE_REPLACE_ME - Business 06
FAKE_REPLACE_ME - BOOK-0048 · TRADER-024,Hedges,FAKE_REPLACE_ME - Activity 24,FAKE_REPLACE_ME - SOG-024,FAKE_REPLACE_ME - Business 06
FAKE_REPLACE_ME - BOOK-0049 · TRADER-025,XVA,FAKE_REPLACE_ME - Activity 1,FAKE_REPLACE_ME - SOG-025,FAKE_REPLACE_ME - Business 07
FAKE_REPLACE_ME - BOOK-0050 · TRADER-025,Hedges,FAKE_REPLACE_ME - Activity 1,FAKE_REPLACE_ME - SOG-025,FAKE_REPLACE_ME - Business 07
FAKE_REPLACE_ME - BOOK-0051 · TRADER-026,XVA,FAKE_REPLACE_ME - Activity 2,FAKE_REPLACE_ME - SOG-026,FAKE_REPLACE_ME - Business 08
FAKE_REPLACE_ME - BOOK-0052 · TRADER-026,Hedges,FAKE_REPLACE_ME - Activity 2,FAKE_REPLACE_ME - SOG-026,FAKE_REPLACE_ME - Business 08
FAKE_REPLACE_ME - BOOK-0053 · TRADER-027,XVA,FAKE_REPLACE_ME - Activity 3,FAKE_REPLACE_ME - SOG-027,FAKE_REPLACE_ME - Business 09
FAKE_REPLACE_ME - BOOK-0054 · TRADER-027,Hedges,FAKE_REPLACE_ME - Activity 3,FAKE_REPLACE_ME - SOG-027,FAKE_REPLACE_ME - Business 09
FAKE_REPLACE_ME - BOOK-0055 · TRADER-028,XVA,FAKE_REPLACE_ME - Activity 4,FAKE_REPLACE_ME - SOG-028,FAKE_REPLACE_ME - Business 10
FAKE_REPLACE_ME - BOOK-0056 · TRADER-028,Hedges,FAKE_REPLACE_ME - Activity 4,FAKE_REPLACE_ME - SOG-028,FAKE_REPLACE_ME - Business 10
FAKE_REPLACE_ME - BOOK-0057 · TRADER-029,XVA,FAKE_REPLACE_ME - Activity 5,FAKE_REPLACE_ME - SOG-029,FAKE_REPLACE_ME - Business 11
FAKE_REPLACE_ME - BOOK-0058 · TRADER-029,Hedges,FAKE_REPLACE_ME - Activity 5,FAKE_REPLACE_ME - SOG-029,FAKE_REPLACE_ME - Business 11
FAKE_REPLACE_ME - BOOK-0059 · TRADER-030,XVA,FAKE_REPLACE_ME - Activity 6,FAKE_REPLACE_ME - SOG-030,FAKE_REPLACE_ME - Business 12
FAKE_REPLACE_ME - BOOK-0060 · TRADER-030,Hedges,FAKE_REPLACE_ME - Activity 6,FAKE_REPLACE_ME - SOG-030,FAKE_REPLACE_ME - Business 12
FAKE_REPLACE_ME - BOOK-0061 · TRADER-031,XVA,FAKE_REPLACE_ME - Activity 7,FAKE_REPLACE_ME - SOG-031,FAKE_REPLACE_ME - Business 13
FAKE_REPLACE_ME - BOOK-0062 · TRADER-031,Hedges,FAKE_REPLACE_ME - Activity 7,FAKE_REPLACE_ME - SOG-031,FAKE_REPLACE_ME - Business 13
FAKE_REPLACE_ME - BOOK-0063 · TRADER-032,XVA,FAKE_REPLACE_ME - Activity 8,FAKE_REPLACE_ME - SOG-032,FAKE_REPLACE_ME - Business 14
FAKE_REPLACE_ME - BOOK-0064 · TRADER-032,Hedges,FAKE_REPLACE_ME - Activity 8,FAKE_REPLACE_ME - SOG-032,FAKE_REPLACE_ME - Business 14
FAKE_REPLACE_ME - BOOK-0065 · TRADER-033,XVA,FAKE_REPLACE_ME - Activity 9,FAKE_REPLACE_ME - SOG-033,FAKE_REPLACE_ME - Business 15
FAKE_REPLACE_ME - BOOK-0066 · TRADER-033,Hedges,FAKE_REPLACE_ME - Activity 9,FAKE_REPLACE_ME - SOG-033,FAKE_REPLACE_ME - Business 15
FAKE_REPLACE_ME - BOOK-0067 · TRADER-034,XVA,FAKE_REPLACE_ME - Activity 10,FAKE_REPLACE_ME - SOG-034,FAKE_REPLACE_ME - Business 16
FAKE_REPLACE_ME - BOOK-0068 · TRADER-034,Hedges,FAKE_REPLACE_ME - Activity 10,FAKE_REPLACE_ME - SOG-034,FAKE_REPLACE_ME - Business 16
FAKE_REPLACE_ME - BOOK-0069 · TRADER-035,XVA,FAKE_REPLACE_ME - Activity 11,FAKE_REPLACE_ME - SOG-035,FAKE_REPLACE_ME - Business 17
FAKE_REPLACE_ME - BOOK-0070 · TRADER-035,Hedges,FAKE_REPLACE_ME - Activity 11,FAKE_REPLACE_ME - SOG-035,FAKE_REPLACE_ME - Business 17
FAKE_REPLACE_ME - BOOK-0071 · TRADER-036,XVA,FAKE_REPLACE_ME - Activity 12,FAKE_REPLACE_ME - SOG-036,FAKE_REPLACE_ME - Business 18
FAKE_REPLACE_ME - BOOK-0072 · TRADER-036,Hedges,FAKE_REPLACE_ME - Activity 12,FAKE_REPLACE_ME - SOG-036,FAKE_REPLACE_ME - Business 18
FAKE_REPLACE_ME - BOOK-0073 · TRADER-037,XVA,FAKE_REPLACE_ME - Activity 13,FAKE_REPLACE_ME - SOG-037,FAKE_REPLACE_ME - Business 01
FAKE_REPLACE_ME - BOOK-0074 · TRADER-037,Hedges,FAKE_REPLACE_ME - Activity 13,FAKE_REPLACE_ME - SOG-037,FAKE_REPLACE_ME - Business 01
FAKE_REPLACE_ME - BOOK-0075 · TRADER-038,XVA,FAKE_REPLACE_ME - Activity 14,FAKE_REPLACE_ME - SOG-038,FAKE_REPLACE_ME - Business 02
FAKE_REPLACE_ME - BOOK-0076 · TRADER-038,Hedges,FAKE_REPLACE_ME - Activity 14,FAKE_REPLACE_ME - SOG-038,FAKE_REPLACE_ME - Business 02
FAKE_REPLACE_ME - BOOK-0077 · TRADER-039,XVA,FAKE_REPLACE_ME - Activity 15,FAKE_REPLACE_ME - SOG-039,FAKE_REPLACE_ME - Business 03
FAKE_REPLACE_ME - BOOK-0078 · TRADER-039,Hedges,FAKE_REPLACE_ME - Activity 15,FAKE_REPLACE_ME - SOG-039,FAKE_REPLACE_ME - Business 03
FAKE_REPLACE_ME - BOOK-0079 · TRADER-040,XVA,FAKE_REPLACE_ME - Activity 16,FAKE_REPLACE_ME - SOG-040,FAKE_REPLACE_ME - Business 04
FAKE_REPLACE_ME - BOOK-0080 · TRADER-040,Hedges,FAKE_REPLACE_ME - Activity 16,FAKE_REPLACE_ME - SOG-040,FAKE_REPLACE_ME - Business 04
FAKE_REPLACE_ME - BOOK-0081 · TRADER-041,XVA,FAKE_REPLACE_ME - Activity 17,FAKE_REPLACE_ME - SOG-041,FAKE_REPLACE_ME - Business 05
FAKE_REPLACE_ME - BOOK-0082 · TRADER-041,Hedges,FAKE_REPLACE_ME - Activity 17,FAKE_REPLACE_ME - SOG-041,FAKE_REPLACE_ME - Business 05
FAKE_REPLACE_ME - BOOK-0083 · TRADER-042,XVA,FAKE_REPLACE_ME - Activity 18,FAKE_REPLACE_ME - SOG-042,FAKE_REPLACE_ME - Business 06
FAKE_REPLACE_ME - BOOK-0084 · TRADER-042,Hedges,FAKE_REPLACE_ME - Activity 18,FAKE_REPLACE_ME - SOG-042,FAKE_REPLACE_ME - Business 06
FAKE_REPLACE_ME - BOOK-0085 · TRADER-043,XVA,FAKE_REPLACE_ME - Activity 19,FAKE_REPLACE_ME - SOG-043,FAKE_REPLACE_ME - Business 07
FAKE_REPLACE_ME - BOOK-0086 · TRADER-043,Hedges,FAKE_REPLACE_ME - Activity 19,FAKE_REPLACE_ME - SOG-043,FAKE_REPLACE_ME - Business 07
FAKE_REPLACE_ME - BOOK-0087 · TRADER-044,XVA,FAKE_REPLACE_ME - Activity 20,FAKE_REPLACE_ME - SOG-044,FAKE_REPLACE_ME - Business 08
FAKE_REPLACE_ME - BOOK-0088 · TRADER-044,Hedges,FAKE_REPLACE_ME - Activity 20,FAKE_REPLACE_ME - SOG-044,FAKE_REPLACE_ME - Business 08
FAKE_REPLACE_ME - BOOK-0089 · TRADER-045,XVA,FAKE_REPLACE_ME - Activity 21,FAKE_REPLACE_ME - SOG-045,FAKE_REPLACE_ME - Business 09
FAKE_REPLACE_ME - BOOK-0090 · TRADER-045,Hedges,FAKE_REPLACE_ME - Activity 21,FAKE_REPLACE_ME - SOG-045,FAKE_REPLACE_ME - Business 09
FAKE_REPLACE_ME - BOOK-0091 · TRADER-046,XVA,FAKE_REPLACE_ME - Activity 22,FAKE_REPLACE_ME - SOG-046,FAKE_REPLACE_ME - Business 10
FAKE_REPLACE_ME - BOOK-0092 · TRADER-046,Hedges,FAKE_REPLACE_ME - Activity 22,FAKE_REPLACE_ME - SOG-046,FAKE_REPLACE_ME - Business 10
FAKE_REPLACE_ME - BOOK-0093 · TRADER-047,XVA,FAKE_REPLACE_ME - Activity 23,FAKE_REPLACE_ME - SOG-047,FAKE_REPLACE_ME - Business 11
FAKE_REPLACE_ME - BOOK-0094 · TRADER-047,Hedges,FAKE_REPLACE_ME - Activity 23,FAKE_REPLACE_ME - SOG-047,FAKE_REPLACE_ME - Business 11
FAKE_REPLACE_ME - BOOK-0095 · TRADER-048,XVA,FAKE_REPLACE_ME - Activity 24,FAKE_REPLACE_ME - SOG-048,FAKE_REPLACE_ME - Business 12
FAKE_REPLACE_ME - BOOK-0096 · TRADER-048,Hedges,FAKE_REPLACE_ME - Activity 24,FAKE_REPLACE_ME - SOG-048,FAKE_REPLACE_ME - Business 12
FAKE_REPLACE_ME - BOOK-0097 · TRADER-049,XVA,FAKE_REPLACE_ME - Activity 1,FAKE_REPLACE_ME - SOG-049,FAKE_REPLACE_ME - Business 13
FAKE_REPLACE_ME - BOOK-0098 · TRADER-049,Hedges,FAKE_REPLACE_ME - Activity 1,FAKE_REPLACE_ME - SOG-049,FAKE_REPLACE_ME - Business 13
FAKE_REPLACE_ME - BOOK-0099 · TRADER-050,XVA,FAKE_REPLACE_ME - Activity 2,FAKE_REPLACE_ME - SOG-050,FAKE_REPLACE_ME - Business 14
FAKE_REPLACE_ME - BOOK-0100 · TRADER-050,Hedges,FAKE_REPLACE_ME - Activity 2,FAKE_REPLACE_ME - SOG-050,FAKE_REPLACE_ME - Business 14
FAKE_REPLACE_ME - BOOK-0101 · TRADER-051,XVA,FAKE_REPLACE_ME - Activity 3,FAKE_REPLACE_ME - SOG-051,FAKE_REPLACE_ME - Business 15
FAKE_REPLACE_ME - BOOK-0102 · TRADER-051,Hedges,FAKE_REPLACE_ME - Activity 3,FAKE_REPLACE_ME - SOG-051,FAKE_REPLACE_ME - Business 15
FAKE_REPLACE_ME - BOOK-0103 · TRADER-052,XVA,FAKE_REPLACE_ME - Activity 4,FAKE_REPLACE_ME - SOG-052,FAKE_REPLACE_ME - Business 16
FAKE_REPLACE_ME - BOOK-0104 · TRADER-052,Hedges,FAKE_REPLACE_ME - Activity 4,FAKE_REPLACE_ME - SOG-052,FAKE_REPLACE_ME - Business 16
FAKE_REPLACE_ME - BOOK-0105 · TRADER-053,XVA,FAKE_REPLACE_ME - Activity 5,FAKE_REPLACE_ME - SOG-053,FAKE_REPLACE_ME - Business 17
FAKE_REPLACE_ME - BOOK-0106 · TRADER-053,Hedges,FAKE_REPLACE_ME - Activity 5,FAKE_REPLACE_ME - SOG-053,FAKE_REPLACE_ME - Business 17
FAKE_REPLACE_ME - BOOK-0107 · TRADER-054,XVA,FAKE_REPLACE_ME - Activity 6,FAKE_REPLACE_ME - SOG-054,FAKE_REPLACE_ME - Business 18
FAKE_REPLACE_ME - BOOK-0108 · TRADER-054,Hedges,FAKE_REPLACE_ME - Activity 6,FAKE_REPLACE_ME - SOG-054,FAKE_REPLACE_ME - Business 18
FAKE_REPLACE_ME - BOOK-0109 · TRADER-055,XVA,FAKE_REPLACE_ME - Activity 7,FAKE_REPLACE_ME - SOG-055,FAKE_REPLACE_ME - Business 01
FAKE_REPLACE_ME - BOOK-0110 · TRADER-055,Hedges,FAKE_REPLACE_ME - Activity 7,FAKE_REPLACE_ME - SOG-055,FAKE_REPLACE_ME - Business 01
FAKE_REPLACE_ME - BOOK-0111 · TRADER-056,XVA,FAKE_REPLACE_ME - Activity 8,FAKE_REPLACE_ME - SOG-056,FAKE_REPLACE_ME - Business 02
FAKE_REPLACE_ME - BOOK-0112 · TRADER-056,Hedges,FAKE_REPLACE_ME - Activity 8,FAKE_REPLACE_ME - SOG-056,FAKE_REPLACE_ME - Business 02
FAKE_REPLACE_ME - BOOK-0113 · TRADER-057,XVA,FAKE_REPLACE_ME - Activity 9,FAKE_REPLACE_ME - SOG-057,FAKE_REPLACE_ME - Business 03
FAKE_REPLACE_ME - BOOK-0114 · TRADER-057,Hedges,FAKE_REPLACE_ME - Activity 9,FAKE_REPLACE_ME - SOG-057,FAKE_REPLACE_ME - Business 03
FAKE_REPLACE_ME - BOOK-0115 · TRADER-058,XVA,FAKE_REPLACE_ME - Activity 10,FAKE_REPLACE_ME - SOG-058,FAKE_REPLACE_ME - Business 04
FAKE_REPLACE_ME - BOOK-0116 · TRADER-058,Hedges,FAKE_REPLACE_ME - Activity 10,FAKE_REPLACE_ME - SOG-058,FAKE_REPLACE_ME - Business 04
FAKE_REPLACE_ME - BOOK-0117 · TRADER-059,XVA,FAKE_REPLACE_ME - Activity 11,FAKE_REPLACE_ME - SOG-059,FAKE_REPLACE_ME - Business 05
FAKE_REPLACE_ME - BOOK-0118 · TRADER-059,Hedges,FAKE_REPLACE_ME - Activity 11,FAKE_REPLACE_ME - SOG-059,FAKE_REPLACE_ME - Business 05
FAKE_REPLACE_ME - BOOK-0119 · TRADER-060,XVA,FAKE_REPLACE_ME - Activity 12,FAKE_REPLACE_ME - SOG-060,FAKE_REPLACE_ME - Business 06
FAKE_REPLACE_ME - BOOK-0120 · TRADER-060,Hedges,FAKE_REPLACE_ME - Activity 12,FAKE_REPLACE_ME - SOG-060,FAKE_REPLACE_ME - Business 06
FAKE_REPLACE_ME - BOOK-0121 · TRADER-061,XVA,FAKE_REPLACE_ME - Activity 13,FAKE_REPLACE_ME - SOG-061,FAKE_REPLACE_ME - Business 07
FAKE_REPLACE_ME - BOOK-0122 · TRADER-061,Hedges,FAKE_REPLACE_ME - Activity 13,FAKE_REPLACE_ME - SOG-061,FAKE_REPLACE_ME - Business 07
FAKE_REPLACE_ME - BOOK-0123 · TRADER-062,XVA,FAKE_REPLACE_ME - Activity 14,FAKE_REPLACE_ME - SOG-062,FAKE_REPLACE_ME - Business 08
FAKE_REPLACE_ME - BOOK-0124 · TRADER-062,Hedges,FAKE_REPLACE_ME - Activity 14,FAKE_REPLACE_ME - SOG-062,FAKE_REPLACE_ME - Business 08
FAKE_REPLACE_ME - BOOK-0125 · TRADER-063,XVA,FAKE_REPLACE_ME - Activity 15,FAKE_REPLACE_ME - SOG-063,FAKE_REPLACE_ME - Business 09
FAKE_REPLACE_ME - BOOK-0126 · TRADER-063,Hedges,FAKE_REPLACE_ME - Activity 15,FAKE_REPLACE_ME - SOG-063,FAKE_REPLACE_ME - Business 09
FAKE_REPLACE_ME - BOOK-0127 · TRADER-064,XVA,FAKE_REPLACE_ME - Activity 16,FAKE_REPLACE_ME - SOG-064,FAKE_REPLACE_ME - Business 10
FAKE_REPLACE_ME - BOOK-0128 · TRADER-064,Hedges,FAKE_REPLACE_ME - Activity 16,FAKE_REPLACE_ME - SOG-064,FAKE_REPLACE_ME - Business 10
FAKE_REPLACE_ME - BOOK-0129 · TRADER-065,XVA,FAKE_REPLACE_ME - Activity 17,FAKE_REPLACE_ME - SOG-065,FAKE_REPLACE_ME - Business 11
FAKE_REPLACE_ME - BOOK-0130 · TRADER-065,Hedges,FAKE_REPLACE_ME - Activity 17,FAKE_REPLACE_ME - SOG-065,FAKE_REPLACE_ME - Business 11
FAKE_REPLACE_ME - BOOK-0131 · TRADER-066,XVA,FAKE_REPLACE_ME - Activity 18,FAKE_REPLACE_ME - SOG-066,FAKE_REPLACE_ME - Business 12
FAKE_REPLACE_ME - BOOK-0132 · TRADER-066,Hedges,FAKE_REPLACE_ME - Activity 18,FAKE_REPLACE_ME - SOG-066,FAKE_REPLACE_ME - Business 12
FAKE_REPLACE_ME - BOOK-0133 · TRADER-067,XVA,FAKE_REPLACE_ME - Activity 19,FAKE_REPLACE_ME - SOG-067,FAKE_REPLACE_ME - Business 13
FAKE_REPLACE_ME - BOOK-0134 · TRADER-067,Hedges,FAKE_REPLACE_ME - Activity 19,FAKE_REPLACE_ME - SOG-067,FAKE_REPLACE_ME - Business 13
FAKE_REPLACE_ME - BOOK-0135 · TRADER-068,XVA,FAKE_REPLACE_ME - Activity 20,FAKE_REPLACE_ME - SOG-068,FAKE_REPLACE_ME - Business 14
FAKE_REPLACE_ME - BOOK-0136 · TRADER-068,Hedges,FAKE_REPLACE_ME - Activity 20,FAKE_REPLACE_ME - SOG-068,FAKE_REPLACE_ME - Business 14
FAKE_REPLACE_ME - BOOK-0137 · TRADER-069,XVA,FAKE_REPLACE_ME - Activity 21,FAKE_REPLACE_ME - SOG-069,FAKE_REPLACE_ME - Business 15
FAKE_REPLACE_ME - BOOK-0138 · TRADER-069,Hedges,FAKE_REPLACE_ME - Activity 21,FAKE_REPLACE_ME - SOG-069,FAKE_REPLACE_ME - Business 15
FAKE_REPLACE_ME - BOOK-0139 · TRADER-070,XVA,FAKE_REPLACE_ME - Activity 22,FAKE_REPLACE_ME - SOG-070,FAKE_REPLACE_ME - Business 16
FAKE_REPLACE_ME - BOOK-0140 · TRADER-070,Hedges,FAKE_REPLACE_ME - Activity 22,FAKE_REPLACE_ME - SOG-070,FAKE_REPLACE_ME - Business 16
FAKE_REPLACE_ME - BOOK-0141 · TRADER-071,XVA,FAKE_REPLACE_ME - Activity 23,FAKE_REPLACE_ME - SOG-071,FAKE_REPLACE_ME - Business 17
FAKE_REPLACE_ME - BOOK-0142 · TRADER-071,Hedges,FAKE_REPLACE_ME - Activity 23,FAKE_REPLACE_ME - SOG-071,FAKE_REPLACE_ME - Business 17
FAKE_REPLACE_ME - BOOK-0143 · TRADER-072,XVA,FAKE_REPLACE_ME - Activity 24,FAKE_REPLACE_ME - SOG-072,FAKE_REPLACE_ME - Business 18
FAKE_REPLACE_ME - BOOK-0144 · TRADER-072,Hedges,FAKE_REPLACE_ME - Activity 24,FAKE_REPLACE_ME - SOG-072,FAKE_REPLACE_ME - Business 18
